title,release_year,listed_in,rating,country
House Party,1990,"Comedies, Cult Movies",R,United States
House Party 2,1991,"Comedies, Cult Movies, Music & Musicals",R,United States
House Party 3,1994,"Comedies, Music & Musicals",R,United States
I Got the Hook Up,1998,"Action & Adventure, Comedies",R,United States
In Too Deep,1999,Thrillers,R,United States
Initial D,2005,"Action & Adventure, International Movies",TV-14,"China, Hong Kong"
Janoskians: Untold and Untrue,2016,Comedies,TV-MA,United States
Kid-E-Cats,2016,Kids' TV,TV-Y,Russia
Kuroko's Basketball,2015,"Anime Series, International TV Shows, Teen TV Shows",TV-MA,Japan
Labyrinth,1986,"Action & Adventure, Children & Family Movies, Cult Movies",PG,"United Kingdom, United States"
Letters to Juliet,2010,"Comedies, Dramas, Romantic Movies",PG,United States
Level 16,2018,"Sci-Fi & Fantasy, Thrillers",TV-14,Canada
Love Don't Cost a Thing,2003,"Comedies, Romantic Movies",PG-13,United States
Love in a Puff,2010,"Comedies, Dramas, International Movies",TV-MA,Hong Kong
Major Dad,1992,TV Comedies,TV-PG,United States
Mars Attacks!,1996,"Comedies, Cult Movies, Sci-Fi & Fantasy",PG-13,United States
Marshall,2017,Dramas,PG-13,"United States, China, Hong Kong"
My Boss's Daughter,2003,"Comedies, Romantic Movies",R,United States
Mystery Men,1999,"Action & Adventure, Comedies",PG-13,United States
Once Upon a Time in America,1984,"Classic Movies, Dramas",R,"Italy, United States"
Open Season 2,2008,"Children & Family Movies, Comedies",PG,"United States, Canada"
Osmosis Jones,2001,"Action & Adventure, Children & Family Movies, Comedies",PG,United States
Poseidon,2006,"Action & Adventure, Dramas",PG-13,United States
Rhyme & Reason,1997,"Documentaries, Music & Musicals",R,United States
Same Kind of Different as Me,2017,"Dramas, Faith & Spirituality",PG-13,United States
School of Rock,2003,"Comedies, Music & Musicals",PG-13,"United States, Germany"
Snervous Tyler Oakley,2015,"Documentaries, LGBTQ Movies",PG-13,United States
Tears of the Sun,2003,"Action & Adventure, Dramas",R,United States
The Blue Lagoon,1980,"Dramas, Romantic Movies",R,United States
The Golden Child,1986,"Action & Adventure, Comedies",PG-13,United States
The Guns of Navarone,1961,"Action & Adventure, Classic Movies",TV-14,"United Kingdom, United States"
The Interview,2014,"Action & Adventure, Comedies",R,United States
The Nutty Professor,1996,"Comedies, Romantic Movies",PG-13,United States
Welcome Home Roscoe Jenkins,2008,Comedies,PG-13,United States
In the Line of Fire,1993,"Action & Adventure, Classic Movies",R,United States
Sparking Joy,2021,Reality TV,TV-PG,United States
2 Alone in Paris,2008,"Comedies, International Movies",TV-MA,France
Thimmarusu,2021,"Dramas, International Movies",TV-14,India
Wind River,2017,"Dramas, Independent Movies",R,"United Kingdom, Canada, United States"
C Kkompany,2008,"Action & Adventure, Comedies, International Movies",TV-14,India
D.P.,2021,"International TV Shows, TV Dramas",TV-MA,", South Korea"
EMI: Liya Hai To Chukana Padega,2008,"Comedies, Dramas, International Movies",TV-14,India
King of Boys: The Return of the King,2021,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,Nigeria
Koi Aap Sa,2006,"Comedies, Dramas, International Movies",TV-14,India
Krishna Cottage,2004,"Action & Adventure, Horror Movies, International Movies",TV-14,India
Kucch To Hai,2003,"Dramas, International Movies, Thrillers",TV-14,India
Kyaa Kool Hai Hum,2005,"Comedies, International Movies, Music & Musicals",TV-MA,India
Kyaa Kool Hain Hum 3,2016,"Comedies, International Movies",TV-MA,India
Kyaa Super Kool Hain Hum,2012,"Comedies, International Movies",TV-MA,India
Kyo Kii... Main Jhuth Nahin Bolta,2001,"Comedies, International Movies, Sci-Fi & Fantasy",TV-14,India
"LSD: Love, Sex Aur Dhokha",2010,"Dramas, Independent Movies, International Movies",TV-MA,India
Mission Istaanbul: Darr Ke Aagey Jeet Hai,2008,"Action & Adventure, International Movies, Music & Musicals",TV-14,India
Once Upon a Time in Mumbaai,2010,"Dramas, International Movies, Music & Musicals",TV-14,India
Once Upon a Time in Mumbai Dobaara!,2013,"Dramas, International Movies, Music & Musicals",TV-14,India
Ragini MMS,2011,"Horror Movies, International Movies",TV-MA,India
Ragini MMS 2,2014,"Horror Movies, International Movies",TV-MA,India
Rebellion,2016,"International TV Shows, TV Dramas",TV-MA,Ireland
Shootout at Lokhandwala,2007,"Action & Adventure, Dramas, International Movies",TV-MA,India
Shor In the City,2011,"Comedies, Dramas, Independent Movies",TV-14,India
The Dirty Picture,2011,"Comedies, Dramas, International Movies",TV-14,India
EDENS ZERO,2021,"Anime Series, International TV Shows",TV-14,Japan
Family Reunion,2021,"Kids' TV, TV Comedies",TV-PG,United States
Really Love,2020,"Dramas, Independent Movies, Romantic Movies",TV-MA,United States
The November Man,2014,Action & Adventure,R,"United States, United Kingdom"
The Old Ways,2020,Horror Movies,TV-MA,United States
The Water Man,2021,"Children & Family Movies, Dramas",PG,United States
Wheel of Fortune,2019,Reality TV,TV-G,United States
Count Me In,2021,"Documentaries, Music & Musicals",TV-MA,United Kingdom
Manifest,2021,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",TV-14,United States
Sweet Girl,2021,"Action & Adventure, Dramas",R,United States
Like Crazy,2011,"Dramas, Independent Movies, Romantic Movies",PG-13,United States
Bombay,1995,"Dramas, International Movies, Romantic Movies",TV-14,India
Go! Go! Cory Carson,2021,Kids' TV,TV-Y,United States
Pahuna,2018,"Comedies, Dramas, International Movies",TV-PG,"India, Nepal"
Mother Goose Club,2016,Kids' TV,TV-Y,United States
Walk of Shame,2014,"Comedies, Independent Movies",R,United States
Rascal Does Not Dream of Bunny Girl Senpai,2018,"Anime Series, International TV Shows, Romantic TV Shows",TV-14,Japan
The Creative Indians,2020,"Docuseries, International TV Shows",TV-MA,India
The Piano,1993,"Classic Movies, Dramas, Independent Movies",R,"New Zealand, Australia, France, United States"
Winx Club,2015,Kids' TV,TV-Y7,Italy
Beckett,2021,Action & Adventure,TV-MA,"Italy, Brazil, Greece"
Brand New Cherry Flavor,2021,"TV Dramas, TV Horror, TV Mysteries",TV-MA,United States
Fast & Furious Spy Racers,2021,Kids' TV,TV-Y7,United States
Gone for Good,2021,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,France
Grace and Frankie,2021,"TV Comedies, TV Dramas",TV-MA,United States
The Kingdom,2021,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,Argentina
Valeria,2021,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",TV-MA,Spain
AlRawabi School for Girls,2021,"International TV Shows, TV Dramas, Teen TV Shows",TV-14,Jordan
Lokillo: Nothing's the Same,2021,Stand-Up Comedy,TV-MA,Colombia
Monster Hunter: Legends of the Guild,2021,"Action & Adventure, Anime Features, Children & Family Movies",TV-PG,"United States, Japan"
Bake Squad,2021,Reality TV,TV-PG,United States
Brother Jekwu,2016,"Comedies, International Movies",TV-14,Nigeria
La diosa del asfalto,2020,"Dramas, Independent Movies, International Movies",TV-MA,Mexico
Misha and the Wolves,2021,"Documentaries, International Movies",PG-13,"Belgium, United Kingdom"
The Kissing Booth 3,2021,"Comedies, Romantic Movies",TV-14,"United Kingdom, United States"
The Railway Man,2013,"Dramas, International Movies",R,"Switzerland, United Kingdom, Australia"
Gabby's Dollhouse,2021,Kids' TV,TV-Y,United States
Las muñecas de la mafia,2018,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,Colombia
The Crowned Clown,2019,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,South Korea
Untold: Malice at the Palace,2021,"Documentaries, Sports Movies",TV-MA,United States
SHAMAN KING,2021,"Anime Series, International TV Shows",TV-14,Japan
Quartet,2012,"Comedies, Dramas, Independent Movies",PG-13,United Kingdom
Slay,2021,"Comedies, International Movies, Romantic Movies",TV-MA,South Africa
The Paper Tigers,2021,"Action & Adventure, Comedies",PG-13,United States
Hit & Run,2021,"TV Action & Adventure, TV Dramas, TV Mysteries",TV-MA,"Israel, United States"
Navarasa,2021,TV Shows,TV-MA,India
Quam's Money,2020,"Comedies, Dramas, International Movies",TV-MA,Nigeria
The Swarm,2021,"Horror Movies, Independent Movies, International Movies",TV-14,France
Vivo,2021,"Children & Family Movies, Music & Musicals",PG,"Canada, United States"
Chennai Express,2013,"Action & Adventure, Comedies, International Movies",TV-14,India
City of God: 10 Years Later,2013,"Documentaries, International Movies",TV-MA,Brazil
Esperando la carroza,1985,"Comedies, Cult Movies, International Movies",TV-MA,Argentina
Lady Boss: The Jackie Collins Story,2021,Documentaries,TV-14,United Kingdom
Tango Feroz,1993,"Classic Movies, Dramas, International Movies",TV-MA,"Argentina, Spain"
'76,2016,"Dramas, International Movies",TV-PG,Nigeria
Aftermath,2021,Horror Movies,TV-MA,United States
American Masters: Inventing David Geffen,2012,Movies,TV-MA,United States
Cocaine Cowboys: The Kings of Miami,2021,"Crime TV Shows, Docuseries",TV-MA,United States
Control Z,2021,"International TV Shows, Spanish-Language TV Shows, TV Dramas",TV-MA,Mexico
Cooking With Paris,2021,Reality TV,TV-MA,United States
Autumn's Concerto,2009,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,Taiwan
Heavy,1995,"Dramas, Independent Movies, Romantic Movies",R,United States
Ije: The Journey,2010,"Dramas, International Movies",TV-MA,"United States, Nigeria"
Office Girls,2011,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,Taiwan
Pray Away,2021,"Documentaries, LGBTQ Movies",PG-13,United States
The Prince Who Turns into a Frog,2005,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,Taiwan
Two Fathers,2013,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,Taiwan
You're My Destiny,2008,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,Taiwan
30 Rock,2012,TV Comedies,TV-14,United States
44 Cats,2020,Kids' TV,TV-Y7,Italy
Beethoven,1992,"Children & Family Movies, Comedies",PG,United States
Beethoven's 2nd,1993,"Children & Family Movies, Comedies",PG,United States
Beowulf,2007,"Action & Adventure, Sci-Fi & Fantasy",PG-13,"United States, United Kingdom"
Boyka: Undisputed,2016,Action & Adventure,R,"Bulgaria, United States"
Catch Me If You Can,2002,Dramas,PG-13,"United States, Canada"
Cloudy with a Chance of Meatballs,2009,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",PG,"United States, Canada"
Deep Blue Sea,1999,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",R,"United States, Mexico"
Ferris Bueller's Day Off,1986,"Classic Movies, Comedies, Cult Movies",PG-13,United States
Five Feet Apart,2019,"Dramas, Romantic Movies",PG-13,United States
Freedomland,2006,"Dramas, Thrillers",R,United States
Good Luck Chuck,2007,"Comedies, Romantic Movies",R,"United States, Canada"
Hunter X Hunter (2011),2014,"Anime Series, International TV Shows",TV-14,Japan
Inception,2010,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",PG-13,"United States, United Kingdom"
Magnolia,1999,"Dramas, Independent Movies",R,United States
Major Payne,1995,Comedies,PG-13,United States
My Girl,1991,Dramas,PG-13,United States
My Girl 2,1994,"Children & Family Movies, Comedies, Dramas",PG,United States
Open Season: Scared Silly,2015,"Children & Family Movies, Comedies",PG,"United States, Canada"
Pineapple Express,2008,"Action & Adventure, Comedies",R,United States
Planet 51,2009,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",PG,"Spain, United Kingdom, United States"
Poms,2019,Comedies,PG-13,"United Kingdom, United States"
Seabiscuit,2003,"Dramas, Sports Movies",PG-13,United States
Space Cowboys,2000,"Action & Adventure, Dramas, Sci-Fi & Fantasy",PG-13,United States
Team America: World Police,2004,"Action & Adventure, Comedies, Cult Movies",R,"United States, Germany"
The Edge of Seventeen,2016,"Comedies, Dramas",R,"United States, China"
The Haunting in Connecticut 2: Ghosts of Georgia,2013,Horror Movies,R,United States
The Last Boy Scout,1991,"Action & Adventure, Comedies",R,United States
The Lincoln Lawyer,2011,"Dramas, Thrillers",R,United States
The Losers,2010,Action & Adventure,PG-13,"United States, France"
The Machinist,2004,"Dramas, Independent Movies, Thrillers",R,"Spain, France, United Kingdom, United States"
The Net,1995,Thrillers,PG-13,United States
The Original Kings of Comedy,2000,Stand-Up Comedy,R,United States
Valentine's Day,2010,"Comedies, Romantic Movies",PG-13,United States
Charmed,2021,"TV Dramas, TV Sci-Fi & Fantasy",TV-14,United States
Eyes of a Thief,2014,"Dramas, Independent Movies, International Movies",TV-14,", France, Algeria"
Glow Up,2021,"British TV Shows, International TV Shows, Reality TV",TV-14,United Kingdom
Outer Banks,2021,"TV Action & Adventure, TV Dramas, Teen TV Shows",TV-MA,United States
Flower Girl,2013,"Comedies, International Movies, Romantic Movies",TV-PG,Nigeria
Bartkowiak,2021,"Action & Adventure, International Movies",TV-MA,Poland
Fantastic Fungi,2019,Documentaries,TV-14,United States
The Flash,2021,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",TV-14,United States
All American,2021,"TV Dramas, Teen TV Shows",TV-14,United States
Department,2012,"Action & Adventure, International Movies",TV-MA,India
How to Sell Drugs Online (Fast),2021,"Crime TV Shows, International TV Shows, TV Comedies",TV-MA,Germany
Mighty Express,2021,Kids' TV,TV-Y,"United States, Canada"
The Operative,2019,"Dramas, International Movies, Thrillers",TV-MA,"France, Israel, Germany, United States, United Kingdom"
The Walking Dead,2019,"Classic & Cult TV, TV Action & Adventure, TV Dramas",TV-MA,United States
Wynonna Earp,2020,"International TV Shows, TV Action & Adventure, TV Dramas",TV-MA,"Canada, United States"
Django Unchained,2012,"Action & Adventure, Dramas",R,United States
A Second Chance:  Rivals!,2021,"Children & Family Movies, Sports Movies",PG,Australia
Sky Rojo,2021,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",TV-MA,Spain
The Last Letter From Your Lover,2021,"Dramas, Romantic Movies",TV-MA,United Kingdom
The Movies That Made Us,2021,Docuseries,TV-MA,United States
Chhota Bheem And The Broken Amulet,2013,Children & Family Movies,TV-Y7,India
Chhota Bheem aur Krishna,2009,Children & Family Movies,TV-Y7,India
Chicago Med,2019,TV Dramas,TV-14,United States
Cousins,2021,Dramas,TV-MA,New Zealand
Sanitation Day,2020,"Dramas, International Movies, Thrillers",TV-14,Nigeria
Milkwater,2020,"Comedies, Dramas, Independent Movies",TV-MA,United States
Okupas,2020,"Classic & Cult TV, Crime TV Shows, International TV Shows",TV-MA,Argentina
The Tambour of Retribution,2021,"Dramas, International Movies, Romantic Movies",TV-14,Saudi Arabia
Cosmic Sin,2021,Action & Adventure,R,United States
Deep,2021,"Dramas, International Movies, Thrillers",TV-MA,Thailand
Explained,2021,"Docuseries, Science & Nature TV",TV-MA,United States
Johnny Test,2021,"Kids' TV, TV Comedies",TV-Y7,"United States, Canada"
The Beguiled,2017,"Dramas, Independent Movies, Thrillers",R,United States
The Book of Henry,2017,Dramas,PG-13,United States
The Twilight Saga: Breaking Dawn: Part 1,2011,"Dramas, Romantic Movies",PG-13,United States
The Twilight Saga: Breaking Dawn: Part 2,2012,"Dramas, Romantic Movies",PG-13,United States
The Twilight Saga: Eclipse,2010,"Dramas, Romantic Movies",PG-13,United States
The Twilight Saga: New Moon,2009,"Dramas, Romantic Movies",PG-13,United States
Twilight,2008,"Action & Adventure, Dramas, Romantic Movies",PG-13,United States
A Perfect Fit,2021,"Comedies, Dramas, International Movies",TV-PG,Indonesia
BEASTARS,2021,"Anime Series, International TV Shows",TV-MA,Japan
Her Private Life,2019,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,South Korea
Lift Like a Girl,2021,"Documentaries, International Movies, Sports Movies",TV-PG,"Egypt, Denmark, Germany"
Never Have I Ever,2021,"TV Comedies, TV Dramas, Teen TV Shows",TV-14,United States
Surf's Up,2007,"Children & Family Movies, Comedies, Sports Movies",PG,"United States, Canada"
This Changes Everything,2019,Documentaries,TV-MA,United States
A Classic Horror Story,2021,"Horror Movies, International Movies",TV-MA,Italy
American Woman,2019,"Dramas, Independent Movies",TV-MA,"United States, Canada"
Ridley Jones,2021,Kids' TV,TV-Y,United States
Born to Play,2020,"Documentaries, Sports Movies",TV-MA,United States
American Ultra,2015,"Action & Adventure, Comedies",R,"United States, Switzerland"
Atypical,2021,"TV Comedies, TV Dramas, Teen TV Shows",TV-14,United States
Biohackers,2021,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",TV-MA,Germany
Ratchet and Clank,2016,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",PG,"Hong Kong, Canada, United States"
Virgin River,2021,"Romantic TV Shows, TV Dramas",TV-14,United States
Back to Q82,2017,"Comedies, International Movies",TV-14,"Kuwait, United States"
Home Again,2017,"Comedies, Dramas, Romantic Movies",PG-13,United States
Midnight Sun,2018,"Dramas, Romantic Movies",PG-13,United States
RESIDENT EVIL: Infinite Darkness,2021,"Anime Series, TV Horror, TV Thrillers",TV-MA,"United States, Japan"
Rock the Kasbah,2015,"Comedies, Music & Musicals",R,United States
Brick Mansions,2014,"Action & Adventure, International Movies",PG-13,"France, Canada, United States, Spain"
Dogs,2021,Docuseries,TV-PG,United States
Tango With Me,2010,"Dramas, International Movies, Romantic Movies",TV-14,Nigeria
The Mire,2021,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,Poland
This Little Love Of Mine,2021,"International Movies, Romantic Movies",TV-G,Australia
A Land Imagined,2019,"Dramas, International Movies",TV-MA,"France, Netherlands, Singapore"
Ask the StoryBots,2019,Kids' TV,TV-Y,United States
Between,2016,"International TV Shows, TV Dramas, TV Mysteries",TV-14,Canada
Chelsea,2017,"Stand-Up Comedy & Talk Shows, TV Comedies",TV-MA,United States
Code Lyoko,2007,Kids' TV,TV-Y7,"France, Belgium"
Colony,2018,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",TV-14,United States
Cuckoo,2019,"British TV Shows, International TV Shows, TV Comedies",TV-MA,United Kingdom
Derry Girls,2019,"British TV Shows, International TV Shows, TV Comedies",TV-MA,United Kingdom
Girl from Nowhere,2021,"International TV Shows, TV Dramas, TV Mysteries",TV-MA,Thailand
Good Morning Call,2017,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,Japan
Har Kisse Ke Hisse: Kaamyaab,2020,"Dramas, International Movies",TV-14,India
I AM A KILLER,2020,"British TV Shows, Crime TV Shows, Docuseries",TV-MA,United Kingdom
I Think You Should Leave with Tim Robinson,2021,TV Comedies,TV-MA,United States
Kim's Convenience,2021,"International TV Shows, TV Comedies",TV-MA,Canada
Larva,2015,"Kids' TV, Korean TV Shows, TV Comedies",TV-Y7,Russia
Marcella,2019,"British TV Shows, Crime TV Shows, International TV Shows",TV-MA,United Kingdom
Midnight Diner: Tokyo Stories,2019,"International TV Shows, TV Dramas",TV-MA,Japan
My Little Pony: Friendship Is Magic,2018,Kids' TV,TV-Y,"United States, Canada"
Orange Is the New Black,2019,"TV Comedies, TV Dramas",TV-MA,United States
Puffin Rock,2016,Kids' TV,TV-Y,"Ireland, United States, United Kingdom"
Rehmataan,2012,"Dramas, International Movies, Romantic Movies",TV-14,India
Return of the Prodigal Son,1976,"Dramas, International Movies",TV-MA,Egypt
Richie Rich,2015,"Kids' TV, TV Comedies",TV-G,United States
Rise: Ini Kalilah,2018,"Dramas, International Movies",TV-PG,Malaysia
Scream,2019,"Crime TV Shows, TV Horror, TV Mysteries",TV-MA,United States
Shtisel,2021,"International TV Shows, TV Dramas",TV-14,Israel
Si Doel the Movie 2,2019,"Dramas, International Movies",TV-G,Indonesia
Some Assembly Required,2015,"Kids' TV, TV Comedies",TV-Y,Canada
Tales by Light,2018,"Docuseries, International TV Shows, Science & Nature TV",TV-14,Australia
Terrace House: Opening New Doors,2018,"International TV Shows, Reality TV",TV-14,Japan
The A List,2021,"British TV Shows, International TV Shows, TV Dramas",TV-PG,United Kingdom
The New Legends of Monkey,2020,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",TV-PG,"Australia, New Zealand"
The Worst Witch,2020,"British TV Shows, Kids' TV",TV-G,"United Kingdom, Germany"
Truckbhar Swapna,2018,"Comedies, Dramas, International Movies",TV-14,India
Ujala,1959,"Dramas, International Movies",TV-14,India
Undercover,2020,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV-MA,"Belgium, Netherlands"
